key,speaker,style,wait,text,context
elevator.peris.not_supposed,Peris,normal,false,I don't think we're supposed to be here.,Entering the maintenance corridor
elevator.aster.no_service,Aster,data,false,Nobody is. This section hasn't been serviced in... the maintenance logs just stop.,Aster reads corridor data
elevator.bridge.narration,,normal,false,An elevated walkway spanning a larger space. Incomplete railing. Exposed framework. The air is open — it smells like rust.,Bridge description
elevator.peris.bodies,Peris,normal,false,Those people down there...,Peris sees bodies below the bridge
elevator.aster.logs,Aster,normal,false,All casualties are supposed to be logged. I'll check the records when we find a working terminal. Come on.,Aster files it as data and keeps moving
elevator.aster.ahead,Aster,normal,true,There's something ahead. Lights.,Waits for click — bridge collapse follows
elevator.peris.floor,Peris,normal,false,The floor—!,Bridge gives way
elevator.peris.hurt,Peris,normal,false,Are you hurt?,After the fall
elevator.aster.sublevel,Aster,data,false,Sub-level. We fell through.,Aster reads the environment
elevator.aster.climb,Aster,normal,false,"They might have called me a beast, but I'm not this type of animal...",Looking up at the collapsed bridge — no way back up
elevator.peris.climb,Peris,normal,false,We've got the combined strength of two children. It wouldn't be physically possible to climb this...,
elevator.aster.another_way,Aster,data,false,There's something over there. Another way forward.,Finds the alternative path (TBD)
elevator.aster.two_paths,Aster,data,false,"Two corridors. One's clear but corroded. The other's shorter, but something's in there.",Aster reads the fork — safe route has iron hazards on floor; dangerous route has hostiles
tag_day.citizen.talk,CITIZEN,normal,false,"It's this time again, huh?",Citizen tries small talk — the last normal thing they say
tag_day.aster.shush,Aster,normal,false,"Shh, that's against protocol.",Aster shuts them down — productivity over connection
tag_day.citizen.scan,,normal,false,The citizen looks at him for a moment. Then they turn back to the scanner.,The citizen presents their tag. The scan fails.
tag_day.poem.01,,poem,false,Between the idea|And the reality|Between the motion|And the act,First stanza — the gap between intention and action
tag_day.nk_chat.01,NK-01,normal,false,Looks like I win the bet. Not weird. He's just babbling like most of them did yesterday.,NK-01 claims victory
tag_day.poem.02,,poem,false,Falls the Shadow|For Thine is the Kingdom,Refrain — the Shadow falls between
tag_day.nk_chat.02,NK-02,normal,false,"Well, it's weirdly structured, unlike all that gibberish we heard.",NK-02 pushing back
tag_day.poem.03,,poem,false,Between the conception|And the creation|Between the emotion|And the response,Second stanza — the gap between feeling and acting
tag_day.nk_chat.03,NK-01,normal,false,"You'll call anything weird, like that case of complete silence.",NK-01 dismissing
tag_day.nk_chat.04,NK-02,normal,false,"Silence IS weird. Yet you didn't get that hint last time you tried courtship, did you?",NK-02 pivots to personal jab
tag_day.poem.04,,poem,false,Falls the Shadow|Life is very long,Refrain — life stretches
tag_day.nk_chat.05,NK-01,normal,false,We had three cases of silence in the last week. It's completely normal.,NK-01 deflecting with statistics
tag_day.nk_chat.06,NK-02,normal,false,...says the guy who spent his date completely silent before getting completely ghosted.,NK-02 lands the kill shot
tag_day.poem.05,,poem,false,Between the desire|And the spasm|Between the potency|And the existence|Between the essence|And the descent,"Third stanza — the full descent, longest breath"
tag_day.nk_chat.07,NK-01,normal,false,I'm working on my approach.,NK-01 retreating to vague self-improvement
tag_day.nk_chat.08,NK-02,normal,false,You've been 'working on your approach' since orientation. How's that going?,NK-02 won't let him have it
tag_day.poem.06,,poem,false,Falls the Shadow|For Thine is the Kingdom,Final refrain before collapse
tag_day.nk_chat.09,NK-01,normal,false,There's still time.,NK-01 down to bare assertion
tag_day.nk_chat.10,NK-02,normal,false,"Is there? You're what, twenty-three? Twenty-four?",NK-02 names the number — casual and terminal
tag_day.checkpoint_id,,data,false,CHECKPOINT 7-B  //  IMMUNITY VERIFICATION,Data overlay as Aster arrives at checkpoint
tag_day.murmur.01,,poem,false,Here we go round the prickly pear|Prickly pear prickly pear,Citizen murmuring in queue — nursery rhyme draws attention
tag_day.murmur.02,,poem,false,Here we go round the prickly pear|At five o'clock in the morning.,Citizen continues in queue before scan
tag_day.scan_failed,STATION 7-B,data,false,SCAN FAILED  //  DISPATCHING RESPONSE UNIT,Citizen's device scan fails
tag_day.fragment.01,,fragment,false,For Thine is,Syntax collapsing — fragments of prayer stuttering
tag_day.fragment.02,,fragment,false,Life is,
tag_day.fragment.03,,fragment,false,For Thine is the,
tag_day.fragment.04,,fragment,false,This is the way the world ends,
tag_day.fragment.05,,fragment,false,This is the way the world ends,
tag_day.fragment.06,,fragment,false,This is the way the world ends,
tag_day.fragment.07,,fragment,false,Not with a BANG...,The final line breaks mid-word
tag_day.fragment.08,,whisper,false,...but a whimper.,Muffled behind the closed door
tag_day.lockdown,,data,false,MEDICAL BAY PROTOCOL  //  ENFORCEMENT ENABLED  //  PLEASE REMAIN IN POSITION,Lockdown alarm after neutralization
tag_day.groan,BYSTANDER,normal,false,Come on... I need to get back to work.,Bystander reacting to the lockdown delay
tag_day.report_blocked,ASTER,normal,false,"Ugh, can't even make an incident report.",Aster frustrated — device locked during protocol enforcement
tag_day.scan_passed,STATION 7-B,data,false,TAG VERIFICATION: PASSED  //  CLEARANCE NOMINAL,Aster scans clean
tag_day.clearance,,data,false,Blue light. Clean reading.,Blue clearance — auto-advances into transition
junction.dusk,,normal,false,The light is changing. Dimming.,Scripted dusk — first nightfall approaching
junction.workbench.aster,Aster,data,false,Sealant applicators. Pressure readers. Manual torque adjusters. No automated systems. Whoever lives here is maintaining this entire section by hand.,Aster examines the workbench
junction.workbench.peris,Peris,normal,false,These are all laid out so carefully. Every tool in its place. Someone really cares about their work.,Peris examines the workbench
junction.monitor.aster,Aster,data,false,"Barrier integrity readings. Trending downward. Slowly, but consistently. Whoever is logging this has been watching the wall weaken for years.",Aster reads the monitoring station
junction.monitor.peris,Peris,normal,false,All these little gauges. I don't know what they measure but they all look like they're... leaning the wrong way.,Peris reads the monitoring station
junction.food.aster,Aster,normal,false,Consuming food you do not own is a breach of protocol.,Aster at the food cache — compliance over survival
junction.food.peris,Peris,normal,false,It's not very nice to take someone else's food!,Peris at the food cache — empathy over survival
junction.lookout.aster,Aster,data,false,Significant wear pattern on the floor here. Someone stands in this exact spot regularly. The window faces the bridge approach.,Aster at the lookout spot
junction.lookout.peris,Peris,normal,false,Someone stands here a lot. Looking out. Waiting for someone.,Peris at the lookout spot
junction.heater.aster,Aster,data,false,This heating element is active and positioned at the entrance. Inefficient placement for personal use. It's oriented outward.,Aster at the heater — data without emotional inference
junction.heater.peris,Peris,normal,false,This is warm. It's been running for a while. Someone set it up for visitors.,Peris at the heater — she reads the care
junction.markings.aster,Aster,data,false,What annotation format is this? This is definitely not standard!,Aster at the wall markings — unrecognized system
junction.markings.peris,Peris,normal,false,"I'm not sure what these markings say, but the handwriting's got a lot of personality.",Peris at the wall markings — she reads the person
junction.game.aster,Aster,normal,false,Who has time to waste on things like these?,"Aster can't fathom leisure — ""Lot Clot"" scratched into the base plate"
junction.game.peris,Peris,normal,false,"Oh, it's a little puzzle. Someone made this by hand. Look how smooth the edges are from use.",Peris sees the care and the years of play — sliding block puzzle about clearing blockages
junction.endo.beckon,,normal,false,Someone in the doorway. Beckoning.,Endo gestures them inside — marker appears on shelter
junction.peris.who,Peris,normal,false,Who...?,
junction.aster.endo_read,Aster,data,false,"Endosomal unit. Non-hostile. His tag reads compliant, but the signal's dead.",Aster scans Endo
junction.endo.drink,,normal,false,"He holds out a container. Points at it, then at them.",Endo offers drink — marker on container
junction.peris.stomach,Peris,normal,false,Can't sleep well on an empty stomach.,Accepts the drink
junction.endo.rest,,normal,false,"He moves to the window. Settles against the wall, watching outward.",Endo takes watch — no marker needed
junction.night.eyes,,poem,false,Red. Through the grating. Watching.,Pairs of eyes outside — the player sees them too
junction.dawn,,normal,false,Morning. They're gone.,The eyes recede with the light
junction.morning.trail,,normal,false,"A faint wet trail near the shelter door, already drying. It wasn't there last night.",Evidence of the night visitors
junction.aster.back_in,Aster,normal,false,It's not letting me back in.,Aster tries his device — locked out of the simulation
junction.peris.back_to_what,Peris,normal,false,...Back in to what?,Not rhetorical — what exactly does he want to go back to
junction.endo.stands,,normal,false,"He stands. Looks at the corridor ahead, then at them. Steps toward the door.",Endo gestures: he's coming with
junction.peris.coming,Peris,normal,false,I think he's coming with us.,
junction.aster.ok,Aster,normal,false,I don't see why not.,
junction.aster.blocked,Aster,data,false,"Dense cluster ahead. Five, maybe six. Too many to push through.",Aster reads the gauntlet
junction.peris.ferrolure,Peris,normal,false,"There's something on the wall. Iron lure — ferrolure. If I activate it, they might go for that instead.",Peris recognizes the device
junction.ferrolure.active,,data,false,FERROLURE ACTIVE  //  SIDEROPHORE LURE  //  18s REMAINING,System readout
junction.exit_narration,,normal,false,The facility door seals behind you. The corridor stretches ahead.,Leaving the facility
junction.endo_appears,,normal,false,Someone is waiting at the exit. Quiet. Watchful. He falls into step beside you.,Endo joins — no words
junction.endo.shelters,,normal,false,He points ahead. Then at a marker on the wall — a shelter symbol.,Endo gestures toward shelter — marker appears
junction.endo.iron_warn,,normal,false,He stops. Holds out an arm. Shakes his head slowly.,Endo blocks the iron path — marker on safe route
junction.endo.dusk,,normal,false,He taps the wall. Points at the dimming light. Walks faster.,Endo notices dusk — urgency without words
junction.endo.shelter,,normal,false,He stops at a door. Opens it. Steps aside.,Endo at the shelter entrance
junction.night_narration,,normal,false,Night. The barrier is thinner here. You can hear things moving outside.,First night
junction.endo.rest,,normal,false,He settles against the wall. Watches the door.,Endo takes watch — same posture as junction
junction.dawn,,data,true,Day 2. Dawn.,Morning — waits for click
channels.narration.enter,,normal,false,"The corridor opens. Water runs along the floor in shallow channels. The air is different here — cleaner where the water flows, stale where it pools.",First view of the Perivascular Channels
channels.aster.fluid,Aster,data,false,"Fluid dynamics are still active in this section. Flow rate correlates with atmospheric quality. Where it moves, the readings are clean.",Aster reads the data
channels.peris.sound,Peris,normal,false,Listen. You can hear it. The moving water sounds different from the still water.,Peris reads by ear
channels.endo.stop,,normal,false,He stops at the edge of a stagnant pool. Shakes his head. Points to the flowing channel beside it.,Endo: stagnant = danger
channels.aster.stagnant,Aster,data,false,Iron concentration spikes near the stagnant sections. The standing water is concentrating the deposits.,Aster confirms
channels.peris.thick,Peris,normal,false,The air is heavier here. Like breathing through cloth.,Peris feels biofilm
channels.narration.flora,,normal,false,"Something is growing where the water seeps into the wall. Faint. Not quite alive, not quite dead.",First wild flora
channels.peris.touch,Peris,normal,false,"It responds to me. I just... touched it, and it brightened.",Peris discovers tending
channels.aster.glow,Aster,data,false,"Bioluminescence increased by 40% on contact. Whatever you did, the growth is producing more light now.",Aster measures it
channels.peris.always,Peris,normal,false,I didn't do anything. Plants just... respond to me. They always have.,She doesn't know why
channels.narration.branch,,normal,false,The channels branch. One path flows steadily forward. Another leads into silence.,Route choice
channels.endo.point,,normal,false,"He points toward the flowing channel. Then at the silent branch, and draws a finger across his throat.",That way is death
channels.narration.body,,normal,false,A figure in the drainage channel. Still. The water flows around them. They stopped moving a long time ago.,First lootable corpse
channels.endo.kneel,,normal,false,"He kneels beside the body. A brief pause. Then his hands move — practiced, efficient. He stands with something in his palm.",Endo demonstrates nutrient absorption
channels.peris.what,Peris,normal,false,What did he just...?,Peris processing
channels.aster.nutrients,Aster,data,false,Organic nutrient absorption. The biological matter still has caloric value. It is what it is.,Clinical framing
channels.peris.people,Peris,normal,false,These were people.,Humane framing
channels.aster.hungry,Aster,normal,false,They were. And we're hungry.,Pragmatism
channels.narration.shelter,,normal,false,"A sealed alcove beside the main flow. The door responds to proximity. Inside: dry, warm, defensible.",Shelter 2
channels.endo.door,,normal,false,He opens the door. Steps aside. The same gesture as the junction.,Endo at shelter
stacks.narration.enter,,normal,false,The drainage channels give way to something industrial. Server racks in rows. Cooling systems humming. The sound of computation.,Entering the Processing Stacks
stacks.aster.home,Aster,data,false,I know this infrastructure. These are the processing cores. Every data point I've ever analyzed was processed here.,Aster recognizes the hardware
stacks.peris.cold,Peris,normal,false,It's cold in here. And loud. How does anyone work in this?,Peris in a machine environment
stacks.aster.terminal,Aster,data,false,There. A maintenance terminal. No friendly interface — just raw logs.,Raw data access
stacks.aster.cleaned,Aster,data,false,"""The data has been cleaned and normalized to correct for anomalies."" The same words. From my desk in the simulation.",Information trail begins
stacks.aster.here,Aster,normal,false,It happened here. On these servers. Through these conduits. The system that gave me the drink machine is the same one that cleaned my reports.,Connecting the dots
stacks.peris.ok,Peris,normal,false,Are you OK?,
stacks.aster.not_sure,Aster,normal,false,I'm not sure what I expected to find. But it wasn't this.,Processing the betrayal
stacks.narration.elegant,,normal,false,"One section is noticeably better than its surroundings. The cable routing is elegant, almost artistic. Someone who cared about this hardware shaped these rows.",Myke retroactive storytelling
stacks.narration.closet,,normal,false,"A small workspace between two racks. A half-finished schematic, crossed out and restarted in the margins. Someone was designing something better and kept stopping.",Myke was here
stacks.aster.archive,Aster,data,false,Older data here. The system keeps its own history in layers. I can read backwards through it.,Archive access
stacks.aster.when,Aster,data,false,"The normalization started on a specific date. Someone built the protocol. Someone authorized it. The terminal doesn't say who, but it shows when.",The trail has a beginning
stacks.peris.meaning,Peris,normal,false,What does that mean for us?,
stacks.aster.means,Aster,normal,false,It means the data isn't broken. Someone is making it wrong. On purpose.,Not failure — policy
rings.narration.enter,,normal,false,The corridors change. Clean. Lit. Warm. People walk past on their own routines. Simulation bays glow through windows.,Entering the Residential Rings
rings.aster.signal,Aster,data,false,"System signals everywhere. Processing stations, transit routing, the full network. This is civilization.",Aster reads the infrastructure
rings.peris.remember,Peris,normal,false,I know this place. My clients lived here. The inner ones.,Peris recognizes territory
rings.peris.hello,Peris,normal,false,Hello? It... it's me. Peris. From the feed.,Tries to connect
rings.narration.client,,normal,false,The client looks confused. Recognizes the voice but not the face. They hurry away.,The feed was a wall
rings.peris.wall,Peris,normal,false,The feed was supposed to connect us. It was a wall the whole time.,Peris realizes
rings.narration.empty,,normal,false,"Some apartments are empty. The system lists the occupants as ""reassigned."" Their belongings are still on the shelves.",Disappearance
rings.aster.tags,Aster,data,false,"Our tags are still flagged here. We can see all of this, but we can't participate.",Ghosts
rings.endo.discomfort,,normal,false,He's checking behind them more often. His movements are less fluid. He keeps touching the walls.,Endo far from his wall
rings.endo.stops,,normal,false,He stops. Looks back. Looks forward. Looks at them. Then turns around.,Endo chooses the wall
rings.peris.endo,Peris,normal,false,Endo?,
rings.narration.leaving,,normal,false,He doesn't explain. He's already walking back. His section of the wall needs him.,Endothelial cells don't travel
rings.peris.understands,Peris,normal,false,I understand. Some people can only function in their own space.,Social worker reading
rings.aster.just_us,Aster,normal,false,So it's just us now.,
rings.peris.visiting,Peris,normal,false,It's been just us since the elevator. Endo was visiting.,Reframe: Endo was the guest
lockout.narration.clean,,normal,false,The corridors get cleaner. The clicking fades. The air smells filtered. Infrastructure lights improve.,Approaching the boundary
lockout.aster.signals,Aster,data,false,"System signals are strong here. Processing stations, transit routing. We're close.",Proximity to civilization
lockout.aster.panel,Aster,data,false,Access panel. Standard interface. Let me just...,Aster tries to interface
lockout.system.rejected,SYSTEM,data,false,NON-COMPLIANT: WELLNESS PROTOCOL DEVIATION. ACCESS REVOKED.,Rejection
lockout.aster.again,Aster,normal,false,No. Let me try again.,Denial
lockout.system.rejected2,SYSTEM,data,false,ACCESS REVOKED. REPORT TO NEAREST PROCESSING STATION.,Same result
lockout.aster.hack,Aster,normal,false,I can hack it. I hacked the elevator. I can hack this.,Brute force attempt
lockout.system.blocked,SYSTEM,data,false,UNAUTHORIZED ACCESS ATTEMPT LOGGED. RESPONSE UNIT DISPATCHED.,Triggers enforcers
lockout.narration.footsteps,,normal,false,Coordinated footsteps. The scan-sweep sound. The calm efficiency of units following protocol.,Naturalizers converging
lockout.peris.run,Peris,normal,false,We need to go. Now.,
lockout.narration.chase,,normal,false,They run. The Naturalizers don't. They walk with purpose. The gentle hands from Tag Day are reaching for them.,The chase
lockout.narration.boundary,,normal,false,The Naturalizers stop at the boundary where the system's infrastructure ends. They stand. They scan. They wait.,The system does not extend here
lockout.aster.not_in,Aster,normal,false,It's not letting me back in.,The real lockout
lockout.peris.back_to,Peris,normal,false,...Back in to what?,Not rhetorical
lockout.narration.forward,,normal,false,The Naturalizers watch from the boundary. The clicking of Chelators resumes behind them. There is no going back.,Exile is permanent
